revision,case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
cost-baseline_20260911_143648_036,0,length50_a,completed_with_warnings,VSM.LayoutRemap_gpu_ms,226,226,0,0,0,0.000256
cost-baseline_20260911_143648_036,0,length50_a,completed_with_warnings,VSM.MarkReceiverPages_gpu_ms,226,226,4.127616,4.50688,3.5489279999999996,4.860416
cost-baseline_20260911_143648_036,0,length50_a,completed_with_warnings,VSM.Allocate_gpu_ms,226,226,0.66790399999999994,0.68787199999999993,0.658432,0.875776
cost-baseline_20260911_143648_036,0,length50_a,completed_with_warnings,VSM.InvalidateStatic_gpu_ms,226,0,,,,
cost-baseline_20260911_143648_036,0,length50_a,completed_with_warnings,VSM.ClearPhysicalPages_gpu_ms,226,226,0.133376,0.13516799999999998,0.121088,0.423936
cost-baseline_20260911_143648_036,0,length50_a,completed_with_warnings,VSM.StaticCasterCull_gpu_ms,226,226,0.366336,0.62105599999999994,0.35584,0.931584
cost-baseline_20260911_143648_036,0,length50_a,completed_with_warnings,VSM.DynamicCasterCull_gpu_ms,226,226,0,0.000256,0,0.000256
cost-baseline_20260911_143648_036,0,length50_a,completed_with_warnings,VSM.PageCull_gpu_ms,226,226,0.346496,0.50892799999999994,0.314112,0.656384
cost-baseline_20260911_143648_036,0,length50_a,completed_with_warnings,VSM.StaticRaster_gpu_ms,226,226,0.007424,0.010496,0.003072,0.027648
cost-baseline_20260911_143648_036,0,length50_a,completed_with_warnings,VSM.DynamicRaster_gpu_ms,226,226,0.08832,0.094975999999999991,0.080384,0.56652799999999992
cost-baseline_20260911_143648_036,0,length50_a,completed_with_warnings,VSM.UnityCompatibilityRaster_gpu_ms,226,0,,,,
cost-baseline_20260911_143648_036,0,length50_a,completed_with_warnings,VSM.FinalizePages_gpu_ms,226,226,0.004352,0.005376,0.002048,0.006144
cost-baseline_20260911_143648_036,0,length50_a,completed_with_warnings,VSM.ResetFeedback_gpu_ms,226,226,0,0,0,0.000256
cost-baseline_20260911_143648_036,0,length50_a,completed_with_warnings,VSM.Resolve_gpu_ms,226,226,4.60736,5.095168,3.91296,5.3652479999999994
cost-baseline_20260911_143648_036,0,length50_b,completed_with_warnings,frame_interval_ms,230,230,17.47825276106596,18.521202728152275,16.477799043059349,18.866900354623795
cost-baseline_20260911_143648_036,0,length50_b,completed_with_warnings,cpu_frame_ms,230,230,17.4281,18.6039,15.757,19.9294
cost-baseline_20260911_143648_036,0,length50_b,completed_with_warnings,gpu_frame_ms,230,230,17.457408,18.494976,16.51584,18.843136
cost-baseline_20260911_143648_036,0,length50_b,completed_with_warnings,cpu_render_thread_ms,230,230,2.30165,3.1154,1.8336,10.0069
cost-baseline_20260911_143648_036,0,length50_b,completed_with_warnings,gc_allocated_in_editor_frame_bytes,230,230,14621,119845,14419,182562
cost-baseline_20260911_143648_036,0,length50_b,completed_with_warnings,VSM.LayoutRemap_gpu_ms,230,230,0,0,0,0.000256
cost-baseline_20260911_143648_036,0,length50_b,completed_with_warnings,VSM.MarkReceiverPages_gpu_ms,230,230,4.121472,4.460544,3.6316159999999997,4.9195519999999995
cost-baseline_20260911_143648_036,0,length50_b,completed_with_warnings,VSM.Allocate_gpu_ms,230,230,0.668928,0.685568,0.659968,0.70118399999999992
cost-baseline_20260911_143648_036,0,length50_b,completed_with_warnings,VSM.InvalidateStatic_gpu_ms,230,0,,,,
cost-baseline_20260911_143648_036,0,length50_b,completed_with_warnings,VSM.ClearPhysicalPages_gpu_ms,230,230,0.133376,0.297472,0.132096,0.402688
cost-baseline_20260911_143648_036,0,length50_b,completed_with_warnings,VSM.StaticCasterCull_gpu_ms,230,230,0.366848,0.628224,0.356608,0.841984
cost-baseline_20260911_143648_036,0,length50_b,completed_with_warnings,VSM.DynamicCasterCull_gpu_ms,230,230,0,0.000256,0,0.002048
cost-baseline_20260911_143648_036,0,length50_b,completed_with_warnings,VSM.PageCull_gpu_ms,230,230,0.346624,0.531712,0.319488,0.734976
cost-baseline_20260911_143648_036,0,length50_b,completed_with_warnings,VSM.StaticRaster_gpu_ms,230,230,0.007424,0.010752,0.003072,0.028159999999999998
cost-baseline_20260911_143648_036,0,length50_b,completed_with_warnings,VSM.DynamicRaster_gpu_ms,230,230,0.087935999999999986,0.094463999999999992,0.077311999999999992,0.39552
cost-baseline_20260911_143648_036,0,length50_b,completed_with_warnings,VSM.UnityCompatibilityRaster_gpu_ms,230,0,,,,
cost-baseline_20260911_143648_036,0,length50_b,completed_with_warnings,VSM.FinalizePages_gpu_ms,230,230,0.004352,0.005376,0.003072,0.009472
cost-baseline_20260911_143648_036,0,length50_b,completed_with_warnings,VSM.ResetFeedback_gpu_ms,230,230,0,0,0,0.000256
cost-baseline_20260911_143648_036,0,length50_b,completed_with_warnings,VSM.Resolve_gpu_ms,230,230,4.556032,4.9674239999999994,3.9206399999999997,5.350912
cost-page-cache_20260911_143852_138,0,length10_a,completed_with_warnings,frame_interval_ms,253,253,14.769501052796841,16.341099515557289,13.972300104796886,54.561600089073181
cost-page-cache_20260911_143852_138,0,length10_a,completed_with_warnings,cpu_frame_ms,253,0,,,,
cost-page-cache_20260911_143852_138,0,length10_a,completed_with_warnings,gpu_frame_ms,253,0,,,,
cost-page-cache_20260911_143852_138,0,length10_a,completed_with_warnings,cpu_render_thread_ms,253,0,,,,
cost-page-cache_20260911_143852_138,0,length10_a,completed_with_warnings,gc_allocated_in_editor_frame_bytes,253,253,20689,103378,20517,171920
cost-page-cache_20260911_143852_138,0,length10_a,completed_with_warnings,VSM.LayoutRemap_gpu_ms,253,253,0,0,0,0.000256
cost-page-cache_20260911_143852_138,0,length10_a,completed_with_warnings,VSM.MarkReceiverPages_gpu_ms,253,253,7.085312,7.476736,6.683648,7.9203839999999994
cost-page-cache_20260911_143852_138,0,length10_a,completed_with_warnings,VSM.Allocate_gpu_ms,253,253,0.527872,0.544512,0.517888,0.69452799999999992
cost-page-cache_20260911_143852_138,0,length10_a,completed_with_warnings,VSM.InvalidateStatic_gpu_ms,253,8,0.13158399999999998,0.147456,0.12595199999999998,0.147456
cost-page-cache_20260911_143852_138,0,length10_a,completed_with_warnings,VSM.ClearPhysicalPages_gpu_ms,253,253,0.12185599999999999,0.283648,0.12006399999999999,0.524544
cost-page-cache_20260911_143852_138,0,length10_a,completed_with_warnings,VSM.StaticCasterCull_gpu_ms,253,253,0.361984,0.60288,0.32767999999999997,0.81587199999999993
cost-page-cache_20260911_143852_138,0,length10_a,completed_with_warnings,VSM.DynamicCasterCull_gpu_ms,253,253,0,0.000256,0,0.000256
cost-page-cache_20260911_143852_138,0,length10_a,completed_with_warnings,VSM.PageCull_gpu_ms,253,253,0.342784,0.526848,0.28953599999999996,0.79564799999999991
cost-page-cache_20260911_143852_138,0,length10_a,completed_with_warnings,VSM.StaticRaster_gpu_ms,253,253,0.007168,0.011264,0.003072,36.752896
cost-page-cache_20260911_143852_138,0,length10_a,completed_with_warnings,VSM.DynamicRaster_gpu_ms,253,253,0.086272,0.09344,0.076544,0.557056
cost-page-cache_20260911_143852_138,0,length10_a,completed_with_warnings,VSM.UnityCompatibilityRaster_gpu_ms,253,0,,,,
cost-page-cache_20260911_143852_138,0,length10_a,completed_with_warnings,VSM.FinalizePages_gpu_ms,253,253,0.004352,0.005632,0.003072,0.011776
cost-page-cache_20260911_143852_138,0,length10_a,completed_with_warnings,VSM.ResetFeedback_gpu_ms,253,253,0,0,0,0.002304
cost-page-cache_20260911_143852_138,0,length10_a,completed_with_warnings,VSM.Resolve_gpu_ms,253,253,1.843456,2.5712639999999998,1.604096,3.0863359999999997
cost-page-cache_20260911_143852_138,0,length10_b,completed_with_warnings,frame_interval_ms,275,275,14.454293996095657,15.827996656298637,13.674900867044926,16.731901094317436
